source,category,name,price_ars,url,article,brand,availability,page,scraped_at
mexx,mothers,Motherboard AM4 - Biostar B450M HP,73859,https://www.mexx.com.ar/productos-rubro/motherboards/47600-motherboard-am4-biostar-b450m-hp.html,19217,Biostar,EN STOCK,1,2026-05-23T23:07:34
mexx,mothers,Motherboard AM4 - Msi B550M PRO VDH WIFI,189999,https://www.mexx.com.ar/productos-rubro/motherboards/44047-motherboard-am4-msi-b550m-pro-vdh-wifi.html,19560,Msi,EN STOCK,1,2026-05-23T23:07:34
mexx,mothers,Motherboard AM5 - Msi PRO B840M-P WIFI6E,211999,https://www.mexx.com.ar/productos-rubro/motherboards/50533-motherboard-am5-msi-pro-b840m-p-wifi6e.html,19736,Msi,EN STOCK,1,2026-05-23T23:07:34
mexx,mothers,Motherboard AM5 - Msi PRO B850-S WIFI6E,326999,https://www.mexx.com.ar/productos-rubro/motherboards/50719-motherboard-am5-msi-pro-b850-s-wifi6e.html,19738,Msi,EN STOCK,1,2026-05-23T23:07:34
mexx,mothers,Motherboard AM5 - Msi B850 GAMING PLUS WIFI PZ,399999,https://www.mexx.com.ar/productos-rubro/motherboards/50715-motherboard-am5-msi-b850-gaming-plus-wifi-pz.html,19739,Msi,EN STOCK,1,2026-05-23T23:07:34
mexx,mothers,Motherboard AM5 - Msi B850 GAMING PLUS WIFI,359219,https://www.mexx.com.ar/productos-rubro/motherboards/49125-motherboard-am5-msi-b850-gaming-plus-wifi.html,19741,Msi,EN STOCK,1,2026-05-23T23:07:34
mexx,mothers,Motherboard AM5 - Msi B850M GAMING PLUS WIFI6E,301999,https://www.mexx.com.ar/productos-rubro/motherboards/50534-motherboard-am5-msi-b850m-gaming-plus-wifi6e.html,19743,Msi,EN STOCK,1,2026-05-23T23:07:34
mexx,mothers,Motherboard AM5 - Msi B850M GAMING PRO WIFI6E,348139,https://www.mexx.com.ar/productos-rubro/motherboards/50717-motherboard-am5-msi-b850m-gaming-pro-wifi6e.html,19744,Msi,EN STOCK,1,2026-05-23T23:07:34
mexx,mothers,Motherboard AM5 - Msi B850M GAMING WIFI6E,258999,https://www.mexx.com.ar/productos-rubro/motherboards/50718-motherboard-am5-msi-b850m-gaming-wifi6e.html,19745,Msi,EN STOCK,1,2026-05-23T23:07:34
mexx,mothers,Motherboard AM5 - Msi PRO X870-P WIFI,399999,https://www.mexx.com.ar/productos-rubro/motherboards/48041-motherboard-am5-msi-pro-x870-p-wifi.html,19763,Msi,EN STOCK,1,2026-05-23T23:07:34
mexx,mothers,Motherboard AM5 - Msi X870 GAMING PLUS WIFI,440999,https://www.mexx.com.ar/productos-rubro/motherboards/49127-motherboard-am5-msi-x870-gaming-plus-wifi.html,19765,Msi,EN STOCK,1,2026-05-23T23:07:34
mexx,mothers,Motherboard AM5 - Msi PRO X870E-P WIFI,430999,https://www.mexx.com.ar/productos-rubro/motherboards/50535-motherboard-am5-msi-pro-x870e-p-wifi.html,19766,Msi,EN STOCK,1,2026-05-23T23:07:34
mexx,procesadores,Procesador Amd Ryzen 5 5500 3.6 Ghz - AM4 Sin Gpu,152449,https://www.mexx.com.ar/productos-rubro/procesadores/47212-procesador-amd-ryzen-5-5500-3.6-ghz-am4-sin-gpu.html,24153,Amd,EN STOCK,1,2026-05-23T23:07:35
mexx,procesadores,Procesador Amd Ryzen 5 5600GT 4.6 Ghz - AM4,246999,https://www.mexx.com.ar/productos-rubro/procesadores/46852-procesador-amd-ryzen-5-5600gt-4.6-ghz-am4.html,24157,Amd,EN STOCK,1,2026-05-23T23:07:35
mexx,procesadores,Procesador Amd Ryzen 5 7600 5.1 Ghz - AM5,317869,https://www.mexx.com.ar/productos-rubro/procesadores/45656-procesador-amd-ryzen-5-7600-5.1-ghz-am5.html,24164,Amd,EN STOCK,1,2026-05-23T23:07:35
mexx,procesadores,Procesador Amd Ryzen 5 7600X 5.3 Ghz - AM5 Sin Cooler,360899,https://www.mexx.com.ar/productos-rubro/procesadores/44152-procesador-amd-ryzen-5-7600x-5.3-ghz-am5-sin-cooler.html,24165,Amd,EN STOCK,1,2026-05-23T23:07:35
mexx,procesadores,Procesador Amd Ryzen 5 8600G 5.3 Ghz - AM5,265649,https://www.mexx.com.ar/productos-rubro/procesadores/46865-procesador-amd-ryzen-5-8600g-5.3-ghz-am5.html,24166,Amd,EN STOCK,1,2026-05-23T23:07:35
mexx,procesadores,Procesador Amd Ryzen 5 8400F 4.7 Ghz - AM5 Sin Video,245999,https://www.mexx.com.ar/productos-rubro/procesadores/47372-procesador-amd-ryzen-5-8400f-4.7-ghz-am5-sin-video.html,24168,Amd,EN STOCK,1,2026-05-23T23:07:35
mexx,procesadores,Procesador Amd Ryzen 5 9600 5.2 Ghz - AM5,367329,https://www.mexx.com.ar/productos-rubro/procesadores/50159-procesador-amd-ryzen-5-9600-5.2-ghz-am5.html,24170,Amd,EN STOCK,1,2026-05-23T23:07:35
mexx,procesadores,Procesador Amd Ryzen 7 5700 3.7Ghz - AM4 Sin Gpu,255899,https://www.mexx.com.ar/productos-rubro/procesadores/48270-procesador-amd-ryzen-7-5700-3.7ghz-am4-sin-gpu.html,24358,Amd,EN STOCK,1,2026-05-23T23:07:35
mexx,procesadores,Procesador Amd Ryzen 7 5700G 4.6 Ghz - AM4,301009,https://www.mexx.com.ar/productos-rubro/procesadores/40369-procesador-amd-ryzen-7-5700g-4.6-ghz-am4.html,24362,Amd,EN STOCK,1,2026-05-23T23:07:35
mexx,procesadores,Procesador Amd Ryzen 7 5700X 4.6 Ghz - AM4 Sin Cooler,336489,https://www.mexx.com.ar/productos-rubro/procesadores/42712-procesador-amd-ryzen-7-5700x-4.6-ghz-am4-sin-cooler.html,24363,Amd,EN STOCK,1,2026-05-23T23:07:35
mexx,procesadores,Procesador Amd Ryzen 7 7700 5.3 Ghz - AM5,540999,https://www.mexx.com.ar/productos-rubro/procesadores/45551-procesador-amd-ryzen-7-7700-5.3-ghz-am5.html,24364,Amd,EN STOCK,1,2026-05-23T23:07:35
mexx,procesadores,Procesador Amd Ryzen 7 7700X 5.4 Ghz - AM5 Sin Cooler,530999,https://www.mexx.com.ar/productos-rubro/procesadores/44153-procesador-amd-ryzen-7-7700x-5.4-ghz-am5-sin-cooler.html,24365,Amd,EN STOCK,1,2026-05-23T23:07:35
mexx,memorias,Memoria Ram DDR4 - 8Gb 3200 Mhz Kingston Value,156909,https://www.mexx.com.ar/productos-rubro/memorias-ram/50348-memoria-ram-ddr4-8gb-3200-mhz-kingston-value.html,27492,Kingston,EN STOCK,1,2026-05-23T23:07:36
mexx,memorias,Memoria Ram DDR4 - 8Gb 3200 Mhz Hiksemi Armor,125999,https://www.mexx.com.ar/productos-rubro/memorias-ram/50243-memoria-ram-ddr4-8gb-3200-mhz-hiksemi-armor.html,27493,Hiksemi,EN STOCK,1,2026-05-23T23:07:36
mexx,memorias,Memoria Ram DDR4 - 8Gb 3200 Mhz Aimerican Telekinesis Value,154669,https://www.mexx.com.ar/productos-rubro/memorias-ram/49383-memoria-ram-ddr4-8gb-3200-mhz-aimerican-telekinesis-value.html,27503,Aimerican,EN STOCK,1,2026-05-23T23:07:36
mexx,memorias,Memoria Ram DDR4 - 8Gb 3200 Mhz XPG D35G Rgb Negro,199999,https://www.mexx.com.ar/productos-rubro/memorias-ram/47427-memoria-ram-ddr4-8gb-3200-mhz-xpg-d35g-rgb-negro.html,27508,Xpg,EN STOCK,1,2026-05-23T23:07:36
mexx,memorias,Memoria Ram DDR4 - 8Gb 3200 Mhz XPG D35 Negro,189999,https://www.mexx.com.ar/productos-rubro/memorias-ram/50477-memoria-ram-ddr4-8gb-3200-mhz-xpg-d35-negro.html,27510,Xpg,EN STOCK,1,2026-05-23T23:07:36
mexx,memorias,Memoria Ram DDR4 - 8Gb 3200 Mhz Kingston Fury Beast Rgb,155999,https://www.mexx.com.ar/productos-rubro/memorias-ram/40456-memoria-ram-ddr4-8gb-3200-mhz-kingston-fury-beast-rgb.html,27515,Kingston Fury,EN STOCK,1,2026-05-23T23:07:36
mexx,memorias,Memoria Ram DDR4 - 8Gb 3200 Mhz Corsair Vengeance RS Rgb Negro,144919,https://www.mexx.com.ar/productos-rubro/memorias-ram/40886-memoria-ram-ddr4-8gb-3200-mhz-corsair-vengeance-rs-rgb-negro.html,27517,Corsair,EN STOCK,1,2026-05-23T23:07:36
mexx,memorias,Memoria Ram DDR4 - 8Gb 3200 Mhz Lexar,149999,https://www.mexx.com.ar/productos-rubro/memorias-ram/47410-memoria-ram-ddr4-8gb-3200-mhz-lexar.html,27518,Lexar,EN STOCK,1,2026-05-23T23:07:36
mexx,memorias,Memoria Ram DDR4 - 16Gb 3200 Mhz Aimerican Telekinesis Value,250999,https://www.mexx.com.ar/productos-rubro/memorias-ram/49384-memoria-ram-ddr4-16gb-3200-mhz-aimerican-telekinesis-value.html,27556,Aimerican,EN STOCK,1,2026-05-23T23:07:36
mexx,memorias,Memoria Ram DDR4 - 16Gb 3200 Mhz Hiksemi Armor,230999,https://www.mexx.com.ar/productos-rubro/memorias-ram/50178-memoria-ram-ddr4-16gb-3200-mhz-hiksemi-armor.html,27560,Hiksemi,EN STOCK,1,2026-05-23T23:07:36
mexx,memorias,Memoria Ram DDR4 - 16Gb 3200 Mhz Hiksemi Future,260999,https://www.mexx.com.ar/productos-rubro/memorias-ram/50292-memoria-ram-ddr4-16gb-3200-mhz-hiksemi-future.html,27562,Hiksemi,EN STOCK,1,2026-05-23T23:07:36
mexx,memorias,Memoria Ram DDR4 - 16Gb 3200 Mhz Kingston Fury Beast,349999,https://www.mexx.com.ar/productos-rubro/memorias-ram/50556-memoria-ram-ddr4-16gb-3200-mhz-kingston-fury-beast.html,27758,Kingston Fury,EN STOCK,1,2026-05-23T23:07:36
mexx,almacenamiento,Disco Rigido 1Tb Seagate Skyhawk,154999,https://www.mexx.com.ar/productos-rubro/almacenamiento/35264-disco-rigido-1tb-seagate-skyhawk.html,29500,Seagate,EN STOCK,1,2026-05-23T23:07:37
mexx,almacenamiento,Disco Rigido 4Tb Seagate Skyhawk,217999,https://www.mexx.com.ar/productos-rubro/almacenamiento/35268-disco-rigido-4tb-seagate-skyhawk.html,29900,Seagate,EN STOCK,1,2026-05-23T23:07:37
mexx,almacenamiento,Disco Rigido 10Tb Seagate Skyhawk,560999,https://www.mexx.com.ar/productos-rubro/almacenamiento/47271-disco-rigido-10tb-seagate-skyhawk.html,30251,Seagate,EN STOCK,1,2026-05-23T23:07:37
mexx,almacenamiento,Disco Rigido 2Tb Western Digital WD Purple,155999,https://www.mexx.com.ar/productos-rubro/almacenamiento/29734-disco-rigido-2tb-western-digital-wd-purple.html,30850,Western Digital,EN STOCK,1,2026-05-23T23:07:37
