source,source_label,category,name,price_ars,url,article,brand,availability,page,scraped_at
fullh4rd.com.ar,fullh4rd,procesadores,CARRITO,0,https://fullh4rd.com.ar/cat/supra/1/microprocesador/1,1,,,1,2026-05-26T10:45:16
fullh4rd.com.ar,fullh4rd,procesadores,MICROPROCESADOR,52899,https://fullh4rd.com.ar/cat/supra/1/microprocesador/1,2,,,1,2026-05-26T10:45:16
fullh4rd.com.ar,fullh4rd,procesadores,MICRO AMD ATHLON 3000G VEGA 3,58500,https://fullh4rd.com.ar/cat/supra/1/microprocesador/1,3,AMD,,1,2026-05-26T10:45:16
fullh4rd.com.ar,fullh4rd,procesadores,MICRO AMD RYZEN 3 3200G TRAY C/VIDEO S/COOLER AM4,97900,https://fullh4rd.com.ar/cat/supra/1/microprocesador/1,4,AMD,,1,2026-05-26T10:45:16
fullh4rd.com.ar,fullh4rd,procesadores,MICRO AMD RYZEN 3 3200G OEM S/CAJA C/VIDEO C/COOLER,102249,https://fullh4rd.com.ar/cat/supra/1/microprocesador/1,5,AMD,,1,2026-05-26T10:45:16
fullh4rd.com.ar,fullh4rd,procesadores,MICRO INTEL CORE I3 10100F S/VIDEO C/COOLER S1200 SIMIL 10105F,105563,https://fullh4rd.com.ar/cat/supra/1/microprocesador/1,6,Intel,,1,2026-05-26T10:45:16
fullh4rd.com.ar,fullh4rd,procesadores,MICRO INTEL CELERON G6900 S1700,113170,https://fullh4rd.com.ar/cat/supra/1/microprocesador/1,7,Intel,,1,2026-05-26T10:45:16
fullh4rd.com.ar,fullh4rd,procesadores,MICRO AMD RYZEN 3 3200G C/VIDEO C/COOLER AM4,122999,https://fullh4rd.com.ar/cat/supra/1/microprocesador/1,8,AMD,,1,2026-05-26T10:45:16
fullh4rd.com.ar,fullh4rd,procesadores,MICRO INTEL CORE I3 12100F S/VIDEO C/COOLER S1700,125779,https://fullh4rd.com.ar/cat/supra/1/microprocesador/1,9,Intel,,1,2026-05-26T10:45:16
fullh4rd.com.ar,fullh4rd,procesadores,MICRO AMD RYZEN 5 3400G TRAY C/VIDEO S/COOLER AM4,126800,https://fullh4rd.com.ar/cat/supra/1/microprocesador/1,10,AMD,,1,2026-05-26T10:45:16
fullh4rd.com.ar,fullh4rd,procesadores,MICRO INTEL PENTIUM G6400 (IDEAL PUESTO DE TRABAJO / COLEGIO),127912,https://fullh4rd.com.ar/cat/supra/1/microprocesador/1,11,Intel,,1,2026-05-26T10:45:16
fullh4rd.com.ar,fullh4rd,procesadores,MICRO AMD RYZEN 5 4500 S/VIDEO C/COOLER AM4,129156,https://fullh4rd.com.ar/cat/supra/1/microprocesador/1,12,AMD,,1,2026-05-26T10:45:16
fullh4rd.com.ar,fullh4rd,procesadores,MICRO INTEL CORE I3 13100F S/VIDEO C/COOLER S1700 BOX,135869,https://fullh4rd.com.ar/cat/supra/1/microprocesador/1,13,Intel,,1,2026-05-26T10:45:16
