estado,grupo,producto_normalizado,match_score,nb_categoria,nb_codigo,nb_id_fabricante,nb_nombre,nb_marca,nb_brand_key,nb_precio_ars,nb_stock,cg_fuente,cg_cate,cg_nombre,cg_marca,cg_precio_ars,cg_disponible,cg_url,diferencia_ars,diferencia_pct
repetido,placas_video,placas_video|ASUS|RTX|5070||12GB|PLACA|DE|TUF|RTX|5070|OC,84.0,PLACA DE VIDEO,120233,TUF-RTX5070-O12G-GAMING,PLACA DE VIDEO ASUS TUF RTX 5070 OC 12GB GAMING,ASUS,ASUS,1341812.91,10.0,compragamer_geforce,6.0,Placa de Video ASUS TUF GeForce RTX 5090 32GB GDDR7 GAMING OC,Asus,5779990.0,True,https://compragamer.com/producto/Placa_de_Video_ASUS_TUF_GeForce_RTX_5090_32GB_GDDR7_GAMING_OC_17355?cate=6,4438177.09,330.75975472616375
repetido,placas_video,placas_video|GIGABYTE|RTX|5070||12GB|PLACA|DE|RTX|5070|AORUS|12GB,83.0,PLACA DE VIDEO,121690,GV-N5070AORUS M-12GD,PLACA DE VIDEO GIGABYTE RTX 5070 AORUS 12GB GDRR7,GIGABYTE                                          ,GIGABYTE,1417766.21,10.0,compragamer_geforce,6.0,Placa de Video Gigabyte AORUS GeForce RTX 5090 32GB GDDR7 MASTER,Gigabyte,5836830.0,True,https://compragamer.com/producto/Placa_de_Video_Gigabyte_AORUS_GeForce_RTX_5090_32GB_GDDR7_MASTER_20204?cate=6,4419063.79,311.69199539605336
repetido,discos_ssd,discos_ssd|ADATA|1000GB|LEGEND|860|1000GB|M2|GEN4,70.0,DISCOS SSD,121149,SLEG-860-1000GCS,DISCO SSD ADATA LEGEND 860 1TB M2 Gen4 x4 M.2 2280 6.000/5.000 MB/s,ADATA,ADATA,319145.0,10.0,compragamer_ssd,81.0,Disco Solido SSD M.2 ADATA 4TB Legend 900 PRO 7400MB/s NVMe PCIe Gen4 x4,Adata,1056550.0,True,https://compragamer.com/producto/Disco_Solido_SSD_M_2_ADATA_4TB_Legend_900_PRO_7400MB_s_NVMe_PCIe_Gen4_x4_19014?cate=81,737405.0,231.05641636246847
repetido,placas_video,placas_video|ZOTAC|RTX|5070||12GB|PLACA|DE|RTX|5070|12GB|SOLID,89.0,PLACA DE VIDEO,120478,ZT-B50700J-10P,PLACA DE VIDEO ZOTAC RTX 5070 12GB SOLID OC GDDR7,ZOTAC,ZOTAC,1133613.79,10.0,compragamer_geforce,6.0,Placa de Video Zotac GeForce RTX 5070 Ti 16GB GDDR7 SOLID SFF OC,Zotac,1697500.0,True,https://compragamer.com/producto/Placa_de_Video_Zotac_GeForce_RTX_5070_Ti_16GB_GDDR7_SOLID_SFF_OC_18659?cate=6,563886.21,49.74235625697531
repetido,placas_video,placas_video|ASUS|RX|9070||16GB|PLACA|DE|PRIME|RX|9070|16GB,82.0,PLACA DE VIDEO,120361,PRIME-RX9070-O16G,PLACA DE VIDEO ASUS PRIME RX 9070 O 16GB,ASUS,ASUS,1118179.0,10.0,compragamer_radeon,62.0,Placa de Video ASUS PRIME Radeon RX 9070 XT 16GB GDDR6 OC,Asus,1401750.0,True,https://compragamer.com/producto/Placa_de_Video_ASUS_PRIME_Radeon_RX_9070_XT_16GB_GDDR6_OC_17048?cate=62,283571.0,25.360072045710037
repetido,discos_ssd,discos_ssd|WD|1000GB|1000GB|GREEN|SN3000,68.0,DISCOS SSD,121558,WDS100T4G0E,DISCO SSD M.2 1TB WD GREEN SN3000 NVME,WD                                                ,WD,251470.76,10.0,compragamer_ssd,81.0,Disco Solido SSD M.2 WD 2TB Green SN3000 5000MB/s NVMe PCI-E Gen3 x4,Western Digital,479478.0,True,https://compragamer.com/producto/Disco_Solido_SSD_M_2_WD_2TB_Green_SN3000_5000MB_s_NVMe_PCI_E_Gen3_x4_20216?cate=81,228007.24,90.66948380002509
repetido,mothers,mothers|ASUS|B650M|AM5|AM5|PRIME|B650M|II,81.0,MOTHER ASUS,118258,PRIME B650M-A II,MOTHER ASUS (AM5) PRIME B650M-A II,ASUS,ASUS,178245.03,6.0,compragamer_mothers_amd,26.0,Mother ASUS PRIME B850-PLUS AM5 DDR5,Asus,344700.0,True,https://compragamer.com/producto/Mother_ASUS_PRIME_B850_PLUS_AM5_DDR5_18654?cate=26,166454.97,93.38547616166353
repetido,mothers,mothers|ASUS|B550M|AM4|AM4|PRIME|B550M,87.0,MOTHER ASUS,121686,PRIME B550M-K ARGB,MOTHER ASUS (AM4) PRIME B550M-K ARGB,ASUS,ASUS,113927.27,10.0,compragamer_mothers_amd,26.0,Mother ASUS PRIME B850M-A WIFI AM5 DDR5,Asus,267850.0,True,https://compragamer.com/producto/Mother_ASUS_PRIME_B850M_A_WIFI_AM5_DDR5_18650?cate=26,153922.72999999998,135.10613393966167
repetido,mothers,mothers|ASROCK|Z890M||LGA1851|Z890M|PHANTHOM|RIPTIDE,80.0,MOTHER ASROCK,119773,Z890M RIPTIDE WIFI,MOTHER ASROCK (LGA1851) Z890M PHANTHOM GAMING RIPTIDE WIFI,ASROCK,ASROCK,384281.41,10.0,compragamer_mothers_intel,49.0,Mother Asrock Z890 RIPTIDE WIFI LGA1851 DDR5,Asrock,529250.0,True,https://compragamer.com/producto/Mother_Asrock_Z890_RIPTIDE_WIFI_LGA1851_DDR5_17336?cate=49,144968.59000000003,37.724590944953604
repetido,mothers,mothers|ASUS|B650E|AM5|AM5|ROG|STRIX|B650E,92.0,MOTHER ASUS,118494,ROG STRIX B650E-F GAMING WIFI,MOTHER ASUS (AM5) ROG STRIX B650E-F GAMING WIFI,ASUS,ASUS,392872.09,10.0,compragamer_mothers_amd,26.0,Mother ASUS ROG STRIX B850-F GAMING WIFI AM5 DDR5,Asus,534600.0,True,https://compragamer.com/producto/Mother_ASUS_ROG_STRIX_B850_F_GAMING_WIFI_AM5_DDR5_16938?cate=26,141727.90999999997,36.07482272410849
repetido,mothers,mothers|ASUS|X870E|AM5|AM5|ROG|CROSSHAIR|X870E|DARK,92.0,MOTHER ASUS,122666,ROG CROSSHAIR X870E DARK HERO,MOTHER ASUS (AM5) ROG CROSSHAIR X870E DARK HERO,ASUS,ASUS,1120966.72,4.0,compragamer_mothers_amd,26.0,Mother ASUS ROG CROSSHAIR X870E HERO DDR5 AM5,Asus,1239100.0,True,https://compragamer.com/producto/Mother_ASUS_ROG_CROSSHAIR_X870E_HERO_DDR5_AM5_16445?cate=26,118133.28000000003,10.53851803914393
repetido,mothers,mothers|GIGABYTE|B840M|AM5|AM5|B840M|AORUS|ELITE|WIFI6E,85.0,MOTHER GIGABYTE,120649,B840M A ELITE WIFI6E,MOTHER GIGABYTE (AM5) B840M AORUS ELITE WIFI6E,GIGABYTE                                          ,GIGABYTE,243525.2,10.0,compragamer_mothers_amd,26.0,Mother Gigabyte B850 AORUS ELITE WIFI 7 ICE AM5,Gigabyte,357550.0,True,https://compragamer.com/producto/Mother_Gigabyte_B850_AORUS_ELITE_WIFI_7_ICE_AM5_20157?cate=26,114024.79999999999,46.82258755972687
repetido,mothers,mothers|ASROCK|B850M|AM5|AM5|B850M,100.0,MOTHER ASROCK,120127,B850M-X,MOTHER ASROCK (AM5) B850M-X,ASROCK,ASROCK,189940.72,10.0,compragamer_mothers_amd,26.0,Mother Asrock B850M PRO-A WIFI AM5 DDR5,Asrock,257000.0,True,https://compragamer.com/producto/Mother_Asrock_B850M_PRO_A_WIFI_AM5_DDR5_18234?cate=26,67059.28,35.305373171166245
repetido,mothers,mothers|ASUS|B850|AM5|AM5|TUF|B850,100.0,MOTHER ASUS,120209,TUF GAMING B850-PLUS WIFI,MOTHER ASUS (AM5) TUF GAMING B850-PLUS WIFI,ASUS,ASUS,354585.39,4.0,compragamer_mothers_amd,26.0,Mother ASUS TUF GAMING B850-PLUS WIFI AM5 DDR5,Asus,419850.0,True,https://compragamer.com/producto/Mother_ASUS_TUF_GAMING_B850_PLUS_WIFI_AM5_DDR5_16936?cate=26,65264.609999999986,18.405893711526012
repetido,mothers,mothers|ASROCK|B860||LGA1851|B860|STEEL|LEGEND,100.0,MOTHER ASROCK,120128,B860 STEEL LEGEND WIFI,MOTHER ASROCK (LGA1851) B860 STEEL LEGEND WIFI,ASROCK,ASROCK,292850.96,6.0,compragamer_mothers_intel,49.0,Mother Asrock B860 STEEL LEGEND WIFI LGA1851 DDR5,Asrock,357650.0,True,https://compragamer.com/producto/Mother_Asrock_B860_STEEL_LEGEND_WIFI_LGA1851_DDR5_17349?cate=49,64799.03999999998,22.126968612293428
repetido,mothers,mothers|ASUS|B850|AM5|AM5|ROG|STRIX|B850,100.0,MOTHER ASUS,119908,ROG STRIX B850-E GAMING WIFI,MOTHER ASUS (AM5) ROG STRIX B850-E GAMING WIFI,ASUS,ASUS,576975.67,10.0,compragamer_mothers_amd,26.0,Mother ASUS ROG STRIX B850-E GAMING WIFI AM5 DDR5,Asus,640650.0,True,https://compragamer.com/producto/Mother_ASUS_ROG_STRIX_B850_E_GAMING_WIFI_AM5_DDR5_16939?cate=26,63674.32999999996,11.035877821329962
repetido,mothers,mothers|ASUS|Z890|1851|1851|TUF|Z890,90.0,MOTHER ASUS,119907,TUF GAMING Z890-PLUS WIFI,MOTHER ASUS (1851) TUF GAMING Z890-PLUS WIFI,ASUS,ASUS,474834.47,2.0,compragamer_mothers_intel,49.0,Mother ASUS TUF GAMING Z890-PLUS WIFI LGA1851,Asus,535010.0,True,https://compragamer.com/producto/Mother_ASUS_TUF_GAMING_Z890_PLUS_WIFI_LGA1851_16706?cate=49,60175.53000000003,12.672948954190295
