estado,grupo,producto_normalizado,nb_categoria,nb_codigo,nb_id_fabricante,nb_nombre,nb_marca,nb_precio_ars,nb_stock,mexx_match_score,mexx_articulo,mexx_nombre,mexx_marca,mexx_precio_ars,mexx_disponibilidad,mexx_diferencia_ars,mexx_diferencia_pct,mexx_url,cg_match_score,cg_articulo,cg_nombre,cg_marca,cg_precio_ars,cg_disponibilidad,cg_diferencia_ars,cg_diferencia_pct,cg_url,mejor_diferencia_ars,mejor_fuente
repetido,almacenamiento,almacenamiento|ADATA|1000GB|LEGEND|860|1000GB|M2|GEN4,DISCOS SSD,121149,SLEG-860-1000GCS,DISCO SSD ADATA LEGEND 860 1TB M2 Gen4 x4 M.2 2280 6.000/5.000 MB/s,ADATA,319145.0,10.0,-,-,-,-,-,-,-,-,-,70.0,19014.0,Disco Solido SSD M.2 ADATA 4TB Legend 900 PRO 7400MB/s NVMe PCIe Gen4 x4,Adata,1056550.0,True,737405.0,231.05641636246847,https://compragamer.com/producto/Disco_Solido_SSD_M_2_ADATA_4TB_Legend_900_PRO_7400MB_s_NVMe_PCIe_Gen4_x4_19014?cate=81,737405.0,compragamer
repetido,procesadores,procesadores|AMD|RYZEN|9|9950X,PROCESADORES,119375,100-100001277WOF,PROCESADOR AMD (AM5) RYZEN 9 9950X,AMD                                               ,935091.06,4.0,81.0,24416,Procesador Amd Ryzen 9 9950X 3D 5.7 Ghz - AM5 Sin Cooler Con Gpu,Amd,1190999.0,EN STOCK,255907.93999999994,27.367167856358282,https://www.mexx.com.ar/productos-rubro/procesadores/48831-procesador-amd-ryzen-9-9950x-3d-5.7-ghz-am5-sin-cooler-con-gpu.html,58.0,16100.0,Procesador AMD Ryzen 9 9950X 5.7GHz Turbo AM5 - No incluye cooler,AMD,993900.0,True,58808.939999999944,6.289113704070696,https://compragamer.com/producto/Procesador_AMD_Ryzen_9_9950X_5_7GHz_Turbo_AM5_No_incluye_cooler_16100?cate=27,255907.93999999994,mexx
repetido,almacenamiento,almacenamiento|WD|1000GB|1000GB|GREEN|SN3000,DISCOS SSD,121558,WDS100T4G0E,DISCO SSD M.2 1TB WD GREEN SN3000 NVME,WD                                                ,251470.76,10.0,-,-,-,-,-,-,-,-,-,68.0,20216.0,Disco Solido SSD M.2 WD 2TB Green SN3000 5000MB/s NVMe PCI-E Gen3 x4,Western Digital,479478.0,True,228007.24,90.66948380002509,https://compragamer.com/producto/Disco_Solido_SSD_M_2_WD_2TB_Green_SN3000_5000MB_s_NVMe_PCI_E_Gen3_x4_20216?cate=81,228007.24,compragamer
repetido,mothers,mothers|ASUS|B850|AM5|AM5|ROG|STRIX|B850,MOTHER ASUS,119905,ROG STRIX B850-A GAMING WIFI,MOTHER ASUS (AM5) ROG STRIX B850-A GAMING WIFI,ASUS,428483.81,10.0,100.0,20635,Motherboard AM5 - Asus Rog Strix B850-E GAMING WIFI,Asus,642369.0,EN STOCK,213885.19,49.91674947998619,https://www.mexx.com.ar/productos-rubro/motherboards/49785-motherboard-am5-asus-rog-strix-b850-e-gaming-wifi.html,-,-,-,-,-,-,-,-,-,213885.19,mexx
repetido,placas_video,placas_video|ZOTAC|RTX|5070||12GB|PLACA|DE|RTX|5070|12GB|SOLID,PLACA DE VIDEO,120478,ZT-B50700J-10P,PLACA DE VIDEO ZOTAC RTX 5070 12GB SOLID OC GDDR7,ZOTAC,1133613.79,10.0,91.0,39901,Placa De Video GeForce RTX 5070 12Gb Zotac Solid Oc,Zotac,1323299.0,EN STOCK,189685.20999999996,16.732789568482577,https://www.mexx.com.ar/productos-rubro/placas-de-video/51312-placa-de-video-geforce-rtx-5070-12gb-zotac-solid-oc.html,-,-,-,-,-,-,-,-,-,189685.20999999996,mexx
repetido,procesadores,procesadores|AMD|RYZEN|7|9850X3D,PROCESADORES,122551,100-100001973WOF,PROCESADOR AMD (AM5)  RYZEN 7 9850X3D,AMD                                               ,816030.51,10.0,100.0,24374,Procesador Amd Ryzen 7 9850X3D 5.6 Ghz - AM5 Sin Cooler,Amd,1004339.0,EN STOCK,188308.49,23.076158022571974,https://www.mexx.com.ar/productos-rubro/procesadores/51283-procesador-amd-ryzen-7-9850x3d-5.6-ghz-am5-sin-cooler.html,61.0,19450.0,Procesador AMD Ryzen 7 9850X3D 5.6GHz Turbo AM5 - No Incluye Cooler,AMD,911750.0,True,95719.48999999999,11.729891079685242,https://compragamer.com/producto/Procesador_AMD_Ryzen_7_9850X3D_5_6GHz_Turbo_AM5_No_Incluye_Cooler_19450?cate=27,188308.49,mexx
repetido,procesadores,procesadores|AMD|RYZEN|7|9800X3D,PROCESADORES,119760,100-100001084WOF,PROCESADOR AMD (AM5) RYZEN 7 9800X3D,AMD                                               ,667789.01,10.0,100.0,24372,Procesador Amd Ryzen 7 9800X3D 5.2 Ghz - AM5 Sin Cooler,Amd,855799.0,EN STOCK,188009.99,28.154100649245485,https://www.mexx.com.ar/productos-rubro/procesadores/48630-procesador-amd-ryzen-7-9800x3d-5.2-ghz-am5-sin-cooler.html,61.0,16708.0,Procesador AMD Ryzen 7 9800X3D 5.2GHz Turbo AM5 - No Incluye Cooler,AMD,714990.0,True,47200.98999999999,7.068248996790167,https://compragamer.com/producto/Procesador_AMD_Ryzen_7_9800X3D_5_2GHz_Turbo_AM5_No_Incluye_Cooler_16708?cate=27,188009.99,mexx
repetido,procesadores,procesadores|AMD|RYZEN|9|9950X3D2,PROCESADORES,122665,100-100001978WOF,PROCESADOR AMD (AM5) RYZEN 9 9950X3D2,AMD                                               ,1528324.73,10.0,-,-,-,-,-,-,-,-,-,55.0,20303.0,Procesador AMD Ryzen 9 9950X3D2 Dual Edition 5.6GHz Turbo AM5 - No Incluye Cooler,AMD,1665170.0,True,136845.27000000002,8.953939389569388,https://compragamer.com/producto/Procesador_AMD_Ryzen_9_9950X3D2_Dual_Edition_5_6GHz_Turbo_AM5_No_Incluye_Cooler_20303?cate=27,136845.27000000002,compragamer
repetido,procesadores,procesadores|INTEL|COREULTRA|9|285K,PROCESADORES,120138,BX80768285K,PROCESADOR INTEL (LGA1851) CORE ULTRA 9 285K,INTEL                                             ,958664.45,10.0,79.0,25666,Procesador Intel Core Ultra 9 285K 5.7 Ghz,Intel,1080999.0,EN STOCK,122334.55000000005,12.76093527824048,https://www.mexx.com.ar/productos-rubro/procesadores/49782-procesador-intel-core-ultra-9-285k-5.7-ghz.html,50.0,16970.0,Procesador Intel Core Ultra 9 285K 5.7Ghz Turbo Socket 1851 Arrow Lake,Intel,1070600.0,True,111935.55000000005,11.676197025977135,https://compragamer.com/producto/Procesador_Intel_Core_Ultra_9_285K_5_7Ghz_Turbo_Socket_1851_Arrow_Lake_16970?cate=48,122334.55000000005,mexx
repetido,procesadores,procesadores|AMD|RYZEN|7|7800X3D,PROCESADORES,118151,100-100000910WOF,PROCESADOR AMD (AM5)  RYZEN 7 7800X3D,AMD                                               ,595707.72,10.0,100.0,24366,Procesador Amd Ryzen 7 7800X3D 5.0 Ghz - AM5 Sin Cooler,Amd,710999.0,EN STOCK,115291.28000000003,19.353665586203924,https://www.mexx.com.ar/productos-rubro/procesadores/50970-procesador-amd-ryzen-7-7800x3d-5.0-ghz-am5-sin-cooler.html,61.0,14664.0,Procesador AMD Ryzen 7 7800X3D 5.0GHz Turbo AM5 - No incluye cooler,AMD,639900.0,True,44192.28000000003,7.418450108385373,https://compragamer.com/producto/Procesador_AMD_Ryzen_7_7800X3D_5_0GHz_Turbo_AM5_No_incluye_cooler_14664?cate=27,115291.28000000003,mexx
