estado,grupo,producto_normalizado,nb_categoria,nb_codigo,nb_id_fabricante,nb_nombre,nb_marca,nb_precio_ars,nb_stock,mexx_match_score,mexx_articulo,mexx_nombre,mexx_marca,mexx_precio_ars,mexx_disponibilidad,mexx_diferencia_ars,mexx_diferencia_pct,mexx_url,mejor_diferencia_ars,mejor_fuente
repetido,procesadores,procesadores|AMD|RYZEN|9|9950X,PROCESADORES,119375,100-100001277WOF,PROCESADOR AMD (AM5) RYZEN 9 9950X,AMD                                               ,935091.06,4.0,81.0,24416,Procesador Amd Ryzen 9 9950X 3D 5.7 Ghz - AM5 Sin Cooler Con Gpu,Amd,1190999.0,EN STOCK,255907.93999999994,27.367167856358282,https://www.mexx.com.ar/productos-rubro/procesadores/48831-procesador-amd-ryzen-9-9950x-3d-5.7-ghz-am5-sin-cooler-con-gpu.html,255907.93999999994,mexx
repetido,procesadores,procesadores|AMD|RYZEN|7|9850X3D,PROCESADORES,122551,100-100001973WOF,PROCESADOR AMD (AM5)  RYZEN 7 9850X3D,AMD                                               ,816030.51,10.0,100.0,24374,Procesador Amd Ryzen 7 9850X3D 5.6 Ghz - AM5 Sin Cooler,Amd,1004339.0,EN STOCK,188308.49,23.076158022571974,https://www.mexx.com.ar/productos-rubro/procesadores/51283-procesador-amd-ryzen-7-9850x3d-5.6-ghz-am5-sin-cooler.html,188308.49,mexx
repetido,procesadores,procesadores|AMD|RYZEN|7|9800X3D,PROCESADORES,119760,100-100001084WOF,PROCESADOR AMD (AM5) RYZEN 7 9800X3D,AMD                                               ,667789.01,10.0,100.0,24372,Procesador Amd Ryzen 7 9800X3D 5.2 Ghz - AM5 Sin Cooler,Amd,855799.0,EN STOCK,188009.99,28.154100649245485,https://www.mexx.com.ar/productos-rubro/procesadores/48630-procesador-amd-ryzen-7-9800x3d-5.2-ghz-am5-sin-cooler.html,188009.99,mexx
repetido,procesadores,procesadores|INTEL|COREULTRA|9|285K,PROCESADORES,120138,BX80768285K,PROCESADOR INTEL (LGA1851) CORE ULTRA 9 285K,INTEL                                             ,958664.45,10.0,79.0,25666,Procesador Intel Core Ultra 9 285K 5.7 Ghz,Intel,1080999.0,EN STOCK,122334.55000000005,12.76093527824048,https://www.mexx.com.ar/productos-rubro/procesadores/49782-procesador-intel-core-ultra-9-285k-5.7-ghz.html,122334.55000000005,mexx
repetido,procesadores,procesadores|AMD|RYZEN|7|7800X3D,PROCESADORES,118151,100-100000910WOF,PROCESADOR AMD (AM5)  RYZEN 7 7800X3D,AMD                                               ,595707.72,10.0,100.0,24366,Procesador Amd Ryzen 7 7800X3D 5.0 Ghz - AM5 Sin Cooler,Amd,710999.0,EN STOCK,115291.28000000003,19.353665586203924,https://www.mexx.com.ar/productos-rubro/procesadores/50970-procesador-amd-ryzen-7-7800x3d-5.0-ghz-am5-sin-cooler.html,115291.28000000003,mexx
repetido,procesadores,procesadores|AMD|RYZEN|9|9900X3D,PROCESADORES,120135,100-100001368WOF,PROCESADOR AMD (AM5) RYZEN 9 9900X3D,AMD                                               ,966410.35,10.0,89.0,24415,Procesador Amd Ryzen 9 9900X3D 5.5 Ghz - AM5 Sin Cooler Con Gpu,Amd,1057999.0,EN STOCK,91588.65000000002,9.477200859862482,https://www.mexx.com.ar/productos-rubro/procesadores/48832-procesador-amd-ryzen-9-9900x3d-5.5-ghz-am5-sin-cooler-con-gpu.html,91588.65000000002,mexx
repetido,procesadores,procesadores|AMD|RYZEN|7|7700,PROCESADORES,118093,100-100000592BOX,PROCESADOR AMD (AM5) RYZEN 7 7700 C/COOLER,AMD                                               ,482085.3,10.0,100.0,24364,Procesador Amd Ryzen 7 7700 5.3 Ghz - AM5,Amd,540999.0,EN STOCK,58913.70000000001,12.220596645448433,https://www.mexx.com.ar/productos-rubro/procesadores/45551-procesador-amd-ryzen-7-7700-5.3-ghz-am5.html,58913.70000000001,mexx
repetido,procesadores,procesadores|AMD|RYZEN|9|9900X,PROCESADORES,119142,100-00000662WOF,PROCESADOR AMD (AM5) RYZEN 9 9900X,AMD                                               ,666633.24,10.0,88.0,24413,Procesador Amd Ryzen 9 9900X 5.6 Ghz - AM5 Sin Cooler Con Gpu,Amd,706529.0,EN STOCK,39895.76000000001,5.984664071056525,https://www.mexx.com.ar/productos-rubro/procesadores/47620-procesador-amd-ryzen-9-9900x-5.6-ghz-am5-sin-cooler-con-gpu.html,39895.76000000001,mexx
repetido,procesadores,procesadores|AMD|RYZEN|7|9700X,PROCESADORES,119141,100-100001404WOF,PROCESADOR AMD (AM5) RYZEN 7 9700X,AMD                                               ,535124.81,10.0,88.0,24371,Procesador Amd Ryzen 7 9700X 5.5 Ghz - AM5 Sin Cooler Con Gpu,Amd,571979.0,EN STOCK,36854.189999999944,6.887026972268384,https://www.mexx.com.ar/productos-rubro/procesadores/47618-procesador-amd-ryzen-7-9700x-5.5-ghz-am5-sin-cooler-con-gpu.html,36854.189999999944,mexx
repetido,procesadores,procesadores|AMD|RYZEN|7|5700X,PROCESADORES,116714,100-100000926WOF,PROCESADOR AMD (AM4) RYZEN 7 5700X (SIN COOLER),AMD                                               ,303891.29,10.0,100.0,24363,Procesador Amd Ryzen 7 5700X 4.6 Ghz - AM4 Sin Cooler,Amd,336489.0,EN STOCK,32597.71000000002,10.726766798745704,https://www.mexx.com.ar/productos-rubro/procesadores/42712-procesador-amd-ryzen-7-5700x-4.6-ghz-am4-sin-cooler.html,32597.71000000002,mexx
